"Protein","AOV_p","LMM_p","LMM_AIC","ICC","Used_LM"
"Q04792",NA,1.02809230015823e-07,-22.4155798351168,NA,TRUE
"Q04500",NA,3.59231198253434e-07,-50.8184990615852,NA,TRUE
"P07213",NA,3.95827542363565e-07,-59.2605417723322,NA,TRUE
"P32521",NA,7.21343057744609e-07,-54.7772934311626,NA,TRUE
"P39929",NA,9.23668497949497e-07,-62.3863411831381,NA,TRUE
"P17423",NA,3.79469247547839e-06,-39.7473461731128,NA,TRUE
"P53303",NA,5.69345412738306e-06,-33.7297388552879,NA,TRUE
"P27616",NA,7.37368706584248e-06,-45.6394692545197,NA,TRUE
"P38174",NA,7.42380740378107e-06,-52.3737519382392,NA,TRUE
"P47001",NA,1.08538591101551e-05,-17.7833437395804,NA,TRUE
